MsgID.STATE,1521418377.9036155,False,False
MsgID.LOCAL_POSITION,1521418389.7405255,9.8111963,10.2249308,-4.9282861
MsgID.LOCAL_VELOCITY,1521418389.7405255,0.7318348,0.1994756,-0.1416964
MsgID.STATE,1521418389.9226131,True,True
MsgID.GLOBAL_HOME,1521418389.9350309,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418389.9906199,-122.3973378,37.7925705,4.6960000
MsgID.LOCAL_VELOCITY,1521418389.9906199,0.5800000,0.1600000,1.6400000
MsgID.LOCAL_POSITION,1521418389.9911120,10.0047302,10.2644529,-4.6965246
MsgID.LOCAL_VELOCITY,1521418389.9911120,0.5894675,0.1608185,1.6440783
MsgID.GLOBAL_POSITION,1521418390.2393398,-122.3973367,37.7925734,4.1550000
MsgID.LOCAL_VELOCITY,1521418390.2393398,0.3600000,0.0900000,2.2700000
MsgID.LOCAL_POSITION,1521418390.2399149,10.3341818,10.3598537,-4.1558537
MsgID.LOCAL_VELOCITY,1521418390.2399149,0.3605656,0.0969145,2.2751060
MsgID.GLOBAL_POSITION,1521418390.4900529,-122.3973378,37.7925740,3.5670000
MsgID.LOCAL_VELOCITY,1521418390.4900529,-0.0500000,0.0000000,2.3900000
MsgID.LOCAL_POSITION,1521418390.4906015,10.3967037,10.2641201,-3.5678415
MsgID.LOCAL_VELOCITY,1521418390.4906015,-0.0596781,-0.0098626,2.3989897
MsgID.GLOBAL_POSITION,1521418390.7411742,-122.3973388,37.7925723,2.9310000
MsgID.LOCAL_VELOCITY,1521418390.7411742,-0.5400000,-0.0400000,2.4700000
MsgID.LOCAL_POSITION,1521418390.7415826,10.2108793,10.1749554,-2.9317088
MsgID.LOCAL_VELOCITY,1521418390.7415826,-0.5466660,-0.0462944,2.4715724
MsgID.STATE,1521418390.9237206,True,True
MsgID.GLOBAL_HOME,1521418390.9341016,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418390.9895604,-122.3973393,37.7925712,2.3330000
MsgID.LOCAL_VELOCITY,1521418390.9895604,-0.3500000,-0.0100000,2.4500000
MsgID.LOCAL_POSITION,1521418390.9899335,10.0866604,10.1287527,-2.3318362
MsgID.LOCAL_VELOCITY,1521418390.9899335,-0.3584257,-0.0199235,2.4586656
MsgID.GLOBAL_POSITION,1521418391.2405436,-122.3973381,37.7925703,1.7640000
MsgID.LOCAL_VELOCITY,1521418391.2405436,-0.1300000,0.0000000,2.4600000
MsgID.LOCAL_POSITION,1521418391.2409544,9.9896441,10.2326221,-1.7644522
MsgID.LOCAL_VELOCITY,1521418391.2409544,-0.1374865,-0.0019900,2.4654648
MsgID.GLOBAL_POSITION,1521418391.4903932,-122.3973371,37.7925699,1.1970000
MsgID.LOCAL_VELOCITY,1521418391.4903932,-0.0800000,0.0000000,2.4400000
MsgID.LOCAL_POSITION,1521418391.4908485,9.9380531,10.3239365,-1.1972295
MsgID.LOCAL_VELOCITY,1521418391.4908485,-0.0877766,-0.0023563,2.4406071
MsgID.GLOBAL_POSITION,1521418391.7409735,-122.3973374,37.7925700,0.6350000
MsgID.LOCAL_VELOCITY,1521418391.7409735,-0.0600000,-0.0100000,2.4400000
